cell_id,lon,lat,x_m,y_m,elevation_mean,elevation_std,elevation_min,elevation_max,slope_mean,slope_std,slope_min,slope_max,roughness_mean,roughness_std,roughness_min,roughness_max,elevation_error_mean,elevation_error_std,elevation_error_min,elevation_error_max,crater_count,crater_coverage_pct,crater_mean_diameter_m,crater_max_diameter_m,avg_illumination_pct,earth_visibility_pct
57,-1.665986104605328,-80.043124995088,-8800.0,302560.0,1956.5714111328125,44.31970977783203,1833.363037109375,2019.00341796875,10.811717987060547,4.228207111358643,1.6642380952835083,19.868703842163086,,,,,,,,,1,28.47222222222222,578.0121595074853,578.0121595074853,,
58,-1.484328446332587,-80.04398868620162,-7840.0,302560.0,2067.63525390625,48.15846633911133,1980.45751953125,2190.514892578125,9.575889587402344,2.639108419418335,2.456697463989258,13.460878372192383,,,,,,,,,1,12.5,382.98458918537534,382.98458918537534,,
59,-1.3026409349728392,-80.04475278437066,-6880.0,302560.0,2141.66162109375,34.595584869384766,2072.63330078125,2209.51416015625,7.273948669433594,1.7154226303100586,3.0953710079193115,10.480069160461426,,,,,,,,,0,0.0,0.0,0.0,,
60,-1.120927217921684,-80.0454172661981,-5920.0,302560.0,2210.23095703125,40.525447845458984,2128.795654296875,2294.973388671875,8.23653793334961,1.9546990394592285,4.0089592933654785,14.47386646270752,,,,,,,,,1,16.666666666666664,442.23251132330944,442.23251132330944,,
61,-0.9391909457355798,-80.0459821113314,-4960.0,302560.0,2317.57568359375,54.70222091674805,2239.0556640625,2474.615966796875,11.34900951385498,4.287461757659912,2.0221304893493652,16.92821502685547,,,,,,,,,1,57.638888888888886,822.4018763131068,822.4018763131068,,
62,-0.757435771692621,-80.04644730246561,-4000.0,302560.0,2385.904541015625,74.81283569335938,2252.01953125,2513.64892578125,15.166912078857422,1.4625645875930786,9.974417686462402,17.293581008911133,,,,,,,,,1,65.27777777777779,875.2033535771409,875.2033535771409,,
63,-0.5756653513524904,-80.04681282534575,-3040.0,302560.0,2305.322998046875,78.98033142089844,2137.051513671875,2466.263427734375,15.401338577270508,1.792617678642273,10.058579444885254,22.217357635498047,,,,,,,,,1,32.63888888888889,618.8622262316039,618.8622262316039,,
64,-0.3938833421157287,-80.04707866876936,-2080.0,302560.0,2266.204833984375,79.65843200683594,2121.699462890625,2407.3212890625,15.859394073486328,2.5794434547424316,6.059819221496582,23.57748794555664,,,,,,,,,0,0.0,0.0,0.0,,
65,-0.21209340278244262,-80.04724482458771,-1120.0,302560.0,2379.854248046875,82.32704162597656,2196.61083984375,2534.43994140625,16.537267684936523,2.0857579708099365,9.922682762145996,19.976755142211914,,,,,,,,,0,0.0,0.0,0.0,,
66,-0.030299193110595236,-80.04731128770742,-160.0,302560.0,2510.01123046875,84.1361083984375,2317.7216796875,2677.556884765625,16.783926010131836,2.6702992916107178,10.528396606445312,22.17056655883789,,,,,,,,,1,8.333333333333332,312.70560761786874,312.70560761786874,,
67,0.1514956266259956,-80.04727805609097,800.0,302560.0,2650.13720703125,63.23513412475586,2480.975830078125,2737.56982421875,12.16477108001709,4.129298210144043,2.6835684776306152,18.6295108795166,,,,,,,,,1,46.52777777777778,738.8945234486704,738.8945234486704,,
68,0.33328739607981345,-80.0471451307571,1760.0,302560.0,2706.299560546875,11.087278366088867,2663.70458984375,2730.55810546875,4.010331153869629,2.2673721313476562,0.9837921857833862,12.966631889343262,,,,,,,,,1,22.916666666666664,518.563585154286,518.563585154286,,
69,0.5150724552718221,-80.04691251578072,2720.0,302560.0,2678.609375,34.05796432495117,2582.3115234375,2721.937744140625,8.381251335144043,4.253467559814453,1.4467593431472778,16.398460388183594,,,,,,,,,0,0.0,0.0,0.0,,
70,0.6968471450335331,-80.04658021829214,3680.0,302560.0,2658.0263671875,28.0753231048584,2571.941650390625,2695.6923828125,8.745827674865723,3.7946295738220215,1.8458356857299805,16.997982025146484,,,,,,,,,0,0.0,0.0,0.0,,
71,0.8786078074488286,-80.0461482484761,4640.0,302560.0,2630.112060546875,21.716320037841797,2594.135009765625,2682.74658203125,5.5031304359436035,2.1284704208374023,1.3010605573654175,9.568033218383789,,,,,,,,,0,0.0,0.0,0.0,,
72,1.0603507862954051,-80.04561661957032,5600.0,302560.0,2614.06640625,8.930855751037598,2588.27001953125,2636.803955078125,3.2496981620788574,1.2403059005737305,0.8550251126289368,7.282589435577393,,,,,,,,,0,0.0,0.0,0.0,,
73,1.242072427485709,-80.04498534786329,6560.0,302560.0,2625.46435546875,14.039237976074219,2571.46533203125,2645.811767578125,5.164777755737305,2.962718963623047,1.1367206573486328,14.031535148620605,,,,,,,,,1,16.666666666666664,442.23251132330944,442.23251132330944,,
74,1.4237690795072226,-80.04425445269206,7520.0,302560.0,2584.82666015625,16.61060905456543,2548.9619140625,2619.720703125,5.22776985168457,2.069798231124878,1.7178995609283447,13.881714820861816,,,,,,,,,1,12.5,382.98458918537534,382.98458918537534,,
75,1.6054370938619817,-80.04342395643914,8480.0,302560.0,2542.016845703125,15.874650955200195,2519.56640625,2585.056884765625,4.3235650062561035,1.6757936477661133,0.8187552094459534,8.092741966247559,,,,,,,,,0,0.0,0.0,0.0,,
76,1.7870728255051753,-80.04249388452938,9440.0,302560.0,2539.01904296875,16.457576751708984,2505.267822265625,2587.345703125,6.1507110595703125,2.822917938232422,1.0253255367279053,13.140913963317871,,,,,,,,,0,0.0,0.0,0.0,,
77,1.968672633282713,-80.0414642654258,10400.0,302560.0,2532.85302734375,25.034164428710938,2492.56298828125,2597.6611328125,6.406241416931152,2.511063814163208,1.028272271156311,10.896140098571777,,,,,,,,,1,30.555555555555557,598.7856509615289,598.7856509615289,,
78,2.1502328803676165,-80.04033513062575,11360.0,302560.0,2438.07470703125,49.80830383300781,2296.528564453125,2513.362548828125,10.48714542388916,2.8603179454803467,3.160816192626953,17.038625717163086,,,,,,,,,1,79.86111111111111,968.0414789279847,968.0414789279847,,
79,2.3317499346951145,-80.03910651465581,12320.0,302560.0,2289.831298828125,49.53208541870117,2205.478271484375,2403.941650390625,10.594290733337402,1.2595946788787842,6.7989182472229,14.368734359741211,,,,,,,,,1,42.36111111111111,705.0338419286038,705.0338419286038,,
80,2.5132201693962988,-80.03777845506691,13280.0,302560.0,2141.418701171875,32.56599807739258,2097.926513671875,2220.58935546875,6.895946502685547,2.9976918697357178,1.1599913835525513,12.773849487304688,,,,,,,,,1,0.6944444444444444,90.270333367641,90.270333367641,,
81,2.694639963230233,-80.0363509924286,14240.0,302560.0,2099.895751953125,5.374658584594727,2075.690673828125,2116.161865234375,2.5180795192718506,1.5575329065322876,0.5582689642906189,8.376498222351074,,,,,,,,,0,0.0,0.0,0.0,,
82,2.876005701014361,-80.03482417032288,15200.0,302560.0,2080.410400390625,9.440991401672363,2063.60205078125,2098.830322265625,3.0781843662261963,1.396765947341919,1.0341824293136597,7.2344889640808105,,,,,,,,,0,0.0,0.0,0.0,,
83,3.0573137740531084,-80.03319803533788,16160.0,302560.0,2077.713623046875,5.577325820922852,2065.71337890625,2089.906982421875,2.8901774883270264,1.1453006267547607,0.5684567093849182,7.419173717498779,,,,,,,,,0,0.0,0.0,0.0,,
84,3.238560580564544,-80.0314726370609,17120.0,302560.0,2080.682373046875,5.949930667877197,2062.56787109375,2098.390380859375,3.151517391204834,1.6584570407867432,0.8740882277488708,8.64950942993164,,,,,,,,,0,0.0,0.0,0.0,,
85,3.4197425261049714,-80.02964802807085,18080.0,302560.0,2102.677001953125,11.142661094665527,2081.895751953125,2131.547119140625,3.2752015590667725,1.6396501064300537,0.5348045825958252,8.234642028808594,,,,,,,,,0,0.0,0.0,0.0,,
86,3.6008560239913376,-80.02772426393061,19040.0,302560.0,2156.6201171875,22.374296188354492,2116.18212890625,2204.389404296875,5.350196838378906,1.9302008152008057,1.4196126461029053,8.766130447387695,,,,,,,,,0,0.0,0.0,0.0,,
87,3.781897495721324,-80.02570140317867,20000.0,302560.0,2198.742431640625,16.281957626342773,2178.103515625,2239.233642578125,3.915924072265625,1.6222995519638062,0.7229949235916138,7.122145652770996,,,,,,,,,1,13.194444444444445,393.4792607492748,393.4792607492748,,
88,3.9628633713910117,-80.02357950732052,20960.0,302560.0,2254.13037109375,31.684553146362305,2193.846923828125,2325.280029296875,7.554086685180664,2.592973232269287,1.8993719816207886,14.85657787322998,,,,,,,,,1,58.333333333333336,827.3412713322257,827.3412713322257,,
89,4.143750090109988,-80.02135864081944,21920.0,302560.0,2368.63134765625,53.163352966308594,2263.56201171875,2483.604248046875,11.36589527130127,2.115370750427246,6.8881683349609375,16.646121978759766,,,,,,,,,1,64.58333333333334,870.5355690759388,870.5355690759388,,
90,4.324554100413784,-80.01903887108713,22880.0,302560.0,2478.7744140625,53.89165496826172,2341.16748046875,2552.1982421875,10.872077941894531,3.7558586597442627,3.1255154609680176,17.194835662841797,,,,,,,,,1,70.13888888888889,907.205622621911,907.205622621911,,
91,4.505271860673531,-80.01662026847345,23840.0,302560.0,2464.65771484375,38.61663818359375,2381.13037109375,2542.087646484375,8.124627113342285,2.27655029296875,2.6572134494781494,14.076797485351562,,,,,,,,,1,13.88888888888889,403.7012035232257,403.7012035232257,,
92,4.685899839502703,-80.01410290625631,24800.0,302560.0,2407.241943359375,24.532432556152344,2345.71826171875,2457.80615234375,6.347345352172852,1.8689619302749634,2.5405945777893066,12.527925491333008,,,,,,,,,0,0.0,0.0,0.0,,
93,4.866434516160845,-80.01148686063085,25760.0,302560.0,2328.66064453125,27.500652313232422,2268.458740234375,2378.005615234375,9.045428276062012,2.819643974304199,3.3257687091827393,15.632417678833008,,,,,,,,,0,0.0,0.0,0.0,,
94,5.04687238095418,-80.0087722106981,26720.0,302560.0,2194.897216796875,35.70859146118164,2137.287353515625,2272.688232421875,11.24591064453125,3.0745978355407715,1.7496176958084106,19.430234909057617,,,,,,,,,0,0.0,0.0,0.0,,
95,5.227209935632969,-80.0059590384534,27680.0,302560.0,2207.8720703125,38.04778289794922,2139.620849609375,2290.430419921875,10.788999557495117,3.5717461109161377,2.3911678791046143,16.202072143554688,,,,,,,,,0,0.0,0.0,0.0,,
96,5.407443693785516,-80.00304742877451,28640.0,302560.0,2294.8837890625,43.24666976928711,2195.350830078125,2369.093017578125,9.764053344726562,3.4586868286132812,2.5070972442626953,16.496166229248047,,,,,,,,,1,45.13888888888889,727.7826946347568,727.7826946347568,,
